# Supertokens for Spanish (30976 total, sorted by frequency)

de cerca (2 atoms, 41 occurrences)
lengua materna (2 atoms, 41 occurrences)
sólo tienes (2 atoms, 41 occurrences)
los fines de (3 atoms, 41 occurrences)
es asunto (2 atoms, 41 occurrences)
buenos amigos (2 atoms, 41 occurrences)
medio de la (3 atoms, 41 occurrences)
cuánto tiempo (2 atoms, 41 occurrences)
hace mucho (2 atoms, 41 occurrences)
lo vas (2 atoms, 40 occurrences)
la flauta (2 atoms, 40 occurrences)
nos veremos (2 atoms, 40 occurrences)
es decir (2 atoms, 40 occurrences)
de la mano (3 atoms, 40 occurrences)
aparte de (2 atoms, 40 occurrences)
del todo (2 atoms, 40 occurrences)
bien hecho (2 atoms, 40 occurrences)
agua es (2 atoms, 40 occurrences)
en cama (2 atoms, 40 occurrences)
al parecer (2 atoms, 40 occurrences)
con la (2 atoms, 39 occurrences)
con todo (2 atoms, 39 occurrences)
por todo (2 atoms, 39 occurrences)
nada de eso (3 atoms, 39 occurrences)
mañana en (2 atoms, 39 occurrences)
con vida (2 atoms, 39 occurrences)
ni idea (2 atoms, 39 occurrences)
los míos (2 atoms, 39 occurrences)
un gusto (2 atoms, 39 occurrences)
justo a tiempo (3 atoms, 39 occurrences)
aun así (2 atoms, 39 occurrences)
claro que (2 atoms, 39 occurrences)
tenía nada (2 atoms, 39 occurrences)
lo va (2 atoms, 38 occurrences)
acabar con (2 atoms, 38 occurrences)
puso la (2 atoms, 38 occurrences)
en llamas (2 atoms, 38 occurrences)
noche en (2 atoms, 38 occurrences)
hasta mañana (2 atoms, 38 occurrences)
abrir la puerta (3 atoms, 38 occurrences)
menos que (2 atoms, 38 occurrences)
bien como (2 atoms, 38 occurrences)
se come (2 atoms, 37 occurrences)
de peso (2 atoms, 37 occurrences)
mientras tanto (2 atoms, 37 occurrences)
a ninguna (2 atoms, 37 occurrences)
hijos de (2 atoms, 37 occurrences)
en frente de (3 atoms, 37 occurrences)
eso sí (2 atoms, 37 occurrences)
desde luego (2 atoms, 37 occurrences)
qué ha (2 atoms, 36 occurrences)
en fin (2 atoms, 36 occurrences)
leer este (2 atoms, 36 occurrences)
en pie (2 atoms, 36 occurrences)
en seguida (2 atoms, 36 occurrences)
estar seguro (2 atoms, 36 occurrences)
ya nadie (2 atoms, 36 occurrences)
de entrar (2 atoms, 36 occurrences)
este no (2 atoms, 36 occurrences)
por desgracia (2 atoms, 35 occurrences)
tengo hambre (2 atoms, 35 occurrences)
dos o tres (3 atoms, 35 occurrences)
estar juntos (2 atoms, 35 occurrences)
contar con (2 atoms, 35 occurrences)
en el armario (3 atoms, 35 occurrences)
de que lo (3 atoms, 35 occurrences)
como quieras (2 atoms, 35 occurrences)
una y otra vez (4 atoms, 35 occurrences)
todo lo demás (3 atoms, 35 occurrences)
no hay problema (3 atoms, 35 occurrences)
dos veces al (3 atoms, 35 occurrences)
tiempo que (2 atoms, 35 occurrences)
mano izquierda (2 atoms, 35 occurrences)
mayoría de las (3 atoms, 35 occurrences)
duele la (2 atoms, 35 occurrences)
para qué (2 atoms, 35 occurrences)
que ver con (3 atoms, 35 occurrences)
gente en (2 atoms, 35 occurrences)
como me (2 atoms, 34 occurrences)
me gustas (2 atoms, 34 occurrences)
esto va (2 atoms, 34 occurrences)
cómo está (2 atoms, 34 occurrences)
trabajar duro (2 atoms, 34 occurrences)
por suerte (2 atoms, 34 occurrences)
de miedo (2 atoms, 34 occurrences)
caja fuerte (2 atoms, 34 occurrences)
aquí mismo (2 atoms, 34 occurrences)
en punto (2 atoms, 34 occurrences)
gracias a Dios (3 atoms, 33 occurrences)
respuesta es (2 atoms, 33 occurrences)
personas en (2 atoms, 33 occurrences)
a las diez (3 atoms, 33 occurrences)
entró a (2 atoms, 33 occurrences)
hacer por (2 atoms, 33 occurrences)
por todos lados (3 atoms, 33 occurrences)
si tiene (2 atoms, 33 occurrences)
hacia atrás (2 atoms, 33 occurrences)
oficina de correos (3 atoms, 33 occurrences)
habitación está (2 atoms, 33 occurrences)
luego de (2 atoms, 33 occurrences)
trabajo y (2 atoms, 33 occurrences)
de confianza (2 atoms, 33 occurrences)
a decir verdad (3 atoms, 33 occurrences)
nombre en (2 atoms, 32 occurrences)
está mal (2 atoms, 32 occurrences)
mano derecha (2 atoms, 32 occurrences)
duele el (2 atoms, 32 occurrences)
por si acaso (3 atoms, 32 occurrences)
importante es (2 atoms, 32 occurrences)
haber estado (2 atoms, 32 occurrences)
por el momento (3 atoms, 32 occurrences)
en forma (2 atoms, 32 occurrences)
todos les (2 atoms, 32 occurrences)
el cumpleaños (2 atoms, 32 occurrences)
cosas y (2 atoms, 32 occurrences)
usted y (2 atoms, 32 occurrences)
así como (2 atoms, 31 occurrences)
por nada (2 atoms, 31 occurrences)
razón por (2 atoms, 31 occurrences)
tiene ningún (2 atoms, 31 occurrences)
venir con (2 atoms, 31 occurrences)
seguir adelante (2 atoms, 31 occurrences)
años y (2 atoms, 31 occurrences)
en juego (2 atoms, 31 occurrences)
si está (2 atoms, 31 occurrences)
de tránsito (2 atoms, 31 occurrences)
vez al mes (3 atoms, 31 occurrences)
ahí dentro (2 atoms, 31 occurrences)
cuando quiera (2 atoms, 31 occurrences)
puso el (2 atoms, 31 occurrences)
esperanza de (2 atoms, 31 occurrences)
a la mierda (3 atoms, 31 occurrences)
de esa manera (3 atoms, 31 occurrences)
de pronto (2 atoms, 31 occurrences)
me vas (2 atoms, 30 occurrences)
por algo (2 atoms, 30 occurrences)
de cómo (2 atoms, 30 occurrences)
mucho gusto (2 atoms, 30 occurrences)
por última vez (3 atoms, 30 occurrences)
lo que tienes que hacer es (6 atoms, 30 occurrences)
a beber (2 atoms, 30 occurrences)
en general (2 atoms, 30 occurrences)
me pregunto por (3 atoms, 30 occurrences)
mal humor (2 atoms, 30 occurrences)
es lo (2 atoms, 30 occurrences)
a la vuelta de la esquina (6 atoms, 30 occurrences)
haber visto (2 atoms, 30 occurrences)
luna de miel (3 atoms, 30 occurrences)
por lo general (3 atoms, 30 occurrences)
a solas (2 atoms, 30 occurrences)
comida es (2 atoms, 30 occurrences)
de abajo (2 atoms, 30 occurrences)
francés es (2 atoms, 30 occurrences)
correo electrónico (2 atoms, 30 occurrences)
haciendo un (2 atoms, 30 occurrences)
en privado (2 atoms, 30 occurrences)
mamá y (2 atoms, 30 occurrences)
escribió un (2 atoms, 30 occurrences)
estar contigo (2 atoms, 30 occurrences)
en primer lugar (3 atoms, 30 occurrences)
cuanto antes (2 atoms, 30 occurrences)
y qué (2 atoms, 30 occurrences)
el mes que (3 atoms, 30 occurrences)
no iba (2 atoms, 29 occurrences)
cayó del (2 atoms, 29 occurrences)
persona más (2 atoms, 29 occurrences)
de alguna manera (3 atoms, 29 occurrences)
más bien (2 atoms, 29 occurrences)
ahí abajo (2 atoms, 29 occurrences)
nunca antes (2 atoms, 29 occurrences)
gusta hablar (2 atoms, 29 occurrences)
en efectivo (2 atoms, 29 occurrences)
así se (2 atoms, 29 occurrences)
de maravilla (2 atoms, 29 occurrences)
acabó la (2 atoms, 29 occurrences)
problema de (2 atoms, 29 occurrences)
por el amor de Dios (5 atoms, 29 occurrences)
madre le (2 atoms, 29 occurrences)
entiendo por (2 atoms, 29 occurrences)
si eso (2 atoms, 29 occurrences)
los seres (2 atoms, 29 occurrences)
en línea (2 atoms, 29 occurrences)
todo lo posible (3 atoms, 29 occurrences)
que tenía (2 atoms, 29 occurrences)
saber cómo (2 atoms, 28 occurrences)
de piedra (2 atoms, 28 occurrences)
al fin y al cabo (5 atoms, 28 occurrences)
fin del mundo (3 atoms, 28 occurrences)
en caso de que (4 atoms, 28 occurrences)
gusta esta (2 atoms, 28 occurrences)
está sobre (2 atoms, 28 occurrences)
que empezar (2 atoms, 28 occurrences)
mi alma (2 atoms, 28 occurrences)
por accidente (2 atoms, 28 occurrences)
sabes nada (2 atoms, 28 occurrences)
de cabeza (2 atoms, 28 occurrences)
tengo una pregunta (3 atoms, 28 occurrences)
gafas de sol (3 atoms, 28 occurrences)
qué tal (2 atoms, 28 occurrences)
olvidó de (2 atoms, 28 occurrences)
momento en (2 atoms, 28 occurrences)
luz del (2 atoms, 28 occurrences)
en el fondo (3 atoms, 28 occurrences)
y uno (2 atoms, 28 occurrences)
número uno (2 atoms, 28 occurrences)
quién sabe (2 atoms, 28 occurrences)
haber llegado (2 atoms, 28 occurrences)
día más (2 atoms, 28 occurrences)
al igual que (3 atoms, 27 occurrences)
de lejos (2 atoms, 27 occurrences)
primera clase (2 atoms, 27 occurrences)
fácil que (2 atoms, 27 occurrences)
por su cuenta (3 atoms, 27 occurrences)
están los (2 atoms, 27 occurrences)
se podría (2 atoms, 27 occurrences)
era uno (2 atoms, 27 occurrences)
las dos (2 atoms, 27 occurrences)
durante mucho tiempo (3 atoms, 27 occurrences)
dio el (2 atoms, 27 occurrences)
que aprender (2 atoms, 27 occurrences)
buen viaje (2 atoms, 27 occurrences)
aquí estamos (2 atoms, 27 occurrences)
trabajar juntos (2 atoms, 27 occurrences)
de sobra (2 atoms, 27 occurrences)
tu mejor (2 atoms, 27 occurrences)
del otro lado (3 atoms, 27 occurrences)
en menos (2 atoms, 27 occurrences)
Dios sabe (2 atoms, 27 occurrences)
bueno como (2 atoms, 27 occurrences)
tan cerca (2 atoms, 27 occurrences)
entre tú (2 atoms, 27 occurrences)
sentido común (2 atoms, 26 occurrences)
fiesta de cumpleaños (3 atoms, 26 occurrences)
a caballo (2 atoms, 26 occurrences)
ciudad está (2 atoms, 26 occurrences)
de ahora en adelante (4 atoms, 26 occurrences)
a lo largo de (4 atoms, 26 occurrences)
en su vida (3 atoms, 26 occurrences)
mucha suerte (2 atoms, 26 occurrences)
lo vamos (2 atoms, 26 occurrences)
echar un vistazo (3 atoms, 26 occurrences)
decir que no (3 atoms, 26 occurrences)
aire acondicionado (2 atoms, 26 occurrences)
tener éxito (2 atoms, 26 occurrences)
de persona (2 atoms, 26 occurrences)
ropa interior (2 atoms, 26 occurrences)
irse a (2 atoms, 26 occurrences)
con gusto (2 atoms, 26 occurrences)
casi siempre (2 atoms, 26 occurrences)
todo lo que puedo (4 atoms, 26 occurrences)
a mucha (2 atoms, 26 occurrences)
me hagas (2 atoms, 26 occurrences)
de rodillas (2 atoms, 26 occurrences)
a primera vista (3 atoms, 26 occurrences)
perder peso (2 atoms, 26 occurrences)
ahora sí (2 atoms, 26 occurrences)
solo tienes (2 atoms, 25 occurrences)
que tenía que (3 atoms, 25 occurrences)
pero tienes (2 atoms, 25 occurrences)
mismo lugar (2 atoms, 25 occurrences)
de acero (2 atoms, 25 occurrences)
a diario (2 atoms, 25 occurrences)
hecho una (2 atoms, 25 occurrences)
bien de (2 atoms, 25 occurrences)
feliz cumpleaños (2 atoms, 25 occurrences)
gente está (2 atoms, 25 occurrences)
entre sí (2 atoms, 25 occurrences)
mucho menos (2 atoms, 25 occurrences)
sentido del humor (3 atoms, 25 occurrences)
claro que sí (3 atoms, 25 occurrences)
de ninguna manera (3 atoms, 25 occurrences)
a pesar de que (4 atoms, 25 occurrences)
ir de compras (3 atoms, 25 occurrences)
qué no (2 atoms, 25 occurrences)
venir conmigo (2 atoms, 25 occurrences)
no hay que (3 atoms, 24 occurrences)
siento muy (2 atoms, 24 occurrences)
niños les (2 atoms, 24 occurrences)
la hija (2 atoms, 24 occurrences)
qué hay (2 atoms, 24 occurrences)
cómo se llama (3 atoms, 24 occurrences)
hombre tiene (2 atoms, 24 occurrences)
ahora tengo (2 atoms, 24 occurrences)
así lo (2 atoms, 24 occurrences)
puerta trasera (2 atoms, 24 occurrences)
quien no (2 atoms, 24 occurrences)
a la vista (3 atoms, 24 occurrences)
de hierro (2 atoms, 24 occurrences)
tren se (2 atoms, 24 occurrences)
voy de (2 atoms, 24 occurrences)
en parte (2 atoms, 24 occurrences)
de costumbre (2 atoms, 24 occurrences)
siento mal (2 atoms, 24 occurrences)
por acá (2 atoms, 24 occurrences)
damas y caballeros (3 atoms, 24 occurrences)
a toda costa (3 atoms, 24 occurrences)
caso de (2 atoms, 24 occurrences)
en blanco (2 atoms, 24 occurrences)
