# Supertokens for Korean (4299 total, sorted by frequency)

어디 가는 거야 (3 atoms, 7 occurrences)
그 일은 (2 atoms, 7 occurrences)
안 했어요 (2 atoms, 7 occurrences)
이름이 뭐지 (2 atoms, 7 occurrences)
잘가 (3 atoms, 7 occurrences)
쓸 수 (2 atoms, 7 occurrences)
그런 말을 (2 atoms, 7 occurrences)
산도 발 (4 atoms, 7 occurrences)
무슨 뜻이야 (2 atoms, 7 occurrences)
이제 어떻게 (2 atoms, 7 occurrences)
어서와 (3 atoms, 7 occurrences)
다 했어 (2 atoms, 7 occurrences)
누가 내 (2 atoms, 7 occurrences)
안 좋아 (2 atoms, 7 occurrences)
잘 있었어 (2 atoms, 7 occurrences)
도대체 왜 (2 atoms, 7 occurrences)
뭐 하세요 (2 atoms, 7 occurrences)
내가 무슨 (2 atoms, 7 occurrences)
모든 것을 (2 atoms, 7 occurrences)
어떻게 됐죠 (2 atoms, 7 occurrences)
나는 그를 (2 atoms, 7 occurrences)
갈 수 (2 atoms, 7 occurrences)
맘에 들어 (2 atoms, 7 occurrences)
그럼 난 (2 atoms, 7 occurrences)
귀가 (2 atoms, 7 occurrences)
수도 있다 (2 atoms, 7 occurrences)
그거 알아 (2 atoms, 7 occurrences)
무슨 문제 (2 atoms, 7 occurrences)
할 얘기가 (2 atoms, 7 occurrences)
우리 엄마 (2 atoms, 7 occurrences)
가만 안 (2 atoms, 7 occurrences)
는 어때 (2 atoms, 7 occurrences)
우리랑같이 (3 atoms, 7 occurrences)
무슨 상관이야 (2 atoms, 7 occurrences)
우리 집에 (3 atoms, 7 occurrences)
내 말 들려 (3 atoms, 7 occurrences)
배울 수 (2 atoms, 7 occurrences)
그 말 (2 atoms, 7 occurrences)
야, 야 (3 atoms, 7 occurrences)
신경 쓰지 마 (3 atoms, 7 occurrences)
우리 모두 (2 atoms, 7 occurrences)
수 없습니다 (2 atoms, 7 occurrences)
잊지 마 (2 atoms, 7 occurrences)
어떻게 알았어 (2 atoms, 7 occurrences)
무슨 뜻이에요 (2 atoms, 7 occurrences)
살 때 (2 atoms, 7 occurrences)
줄 알았지 (2 atoms, 7 occurrences)
네 엄마 (2 atoms, 7 occurrences)
보고 싶어 (2 atoms, 7 occurrences)
그럴 리가 (2 atoms, 7 occurrences)
수 없어 (2 atoms, 7 occurrences)
내 아들은 (2 atoms, 7 occurrences)
무슨 짓 (2 atoms, 7 occurrences)
걸 환영합니다 (2 atoms, 7 occurrences)
것 같나 (2 atoms, 7 occurrences)
줄 아니 (2 atoms, 7 occurrences)
왜 아직도 (2 atoms, 7 occurrences)
싸울 수 (2 atoms, 7 occurrences)
제 이름은 (2 atoms, 7 occurrences)
몇 번을 (2 atoms, 7 occurrences)
있을 거야 (2 atoms, 7 occurrences)
나이에 비해 (2 atoms, 7 occurrences)
언제까지 (2 atoms, 7 occurrences)
왜 나를 (2 atoms, 7 occurrences)
구할 수 (2 atoms, 7 occurrences)
한 거죠 (2 atoms, 7 occurrences)
하는 거 (2 atoms, 7 occurrences)
살고 있다 (2 atoms, 7 occurrences)
여기 온 (2 atoms, 7 occurrences)
하나 더 (2 atoms, 7 occurrences)
집에 가서 (2 atoms, 7 occurrences)
갈 거예요 (2 atoms, 7 occurrences)
빨리가 (3 atoms, 7 occurrences)
것 같니 (2 atoms, 7 occurrences)
살고 있어요 (2 atoms, 7 occurrences)
어디 갔어 (2 atoms, 7 occurrences)
왜 혼자 (2 atoms, 7 occurrences)
아직 살아 (2 atoms, 7 occurrences)
쓰고 있어 (2 atoms, 7 occurrences)
좀 해봐 (2 atoms, 7 occurrences)
대해 뭘 (2 atoms, 7 occurrences)
무슨 일이에요 (2 atoms, 7 occurrences)
올 거야 (2 atoms, 7 occurrences)
되는 거지 (2 atoms, 7 occurrences)
내가 그 (2 atoms, 7 occurrences)
내가 이걸 (2 atoms, 7 occurrences)
다 뭐야 (2 atoms, 7 occurrences)
무슨 소리 (2 atoms, 7 occurrences)
영화 보러 (2 atoms, 7 occurrences)
말도 안 (2 atoms, 7 occurrences)
아니, 아니 (3 atoms, 7 occurrences)
누가 먼저 (2 atoms, 7 occurrences)
안 가요 (2 atoms, 7 occurrences)
만난 적 (2 atoms, 7 occurrences)
학교에 가야 (2 atoms, 6 occurrences)
나는 그가 (2 atoms, 6 occurrences)
갖고 싶어 (2 atoms, 6 occurrences)
내가 더 (2 atoms, 6 occurrences)
두 개 (2 atoms, 6 occurrences)
얼굴 좀 (2 atoms, 6 occurrences)
그 남자는 (2 atoms, 6 occurrences)
네가 한 (2 atoms, 6 occurrences)
살아 있는 (2 atoms, 6 occurrences)
여기 있으면 (2 atoms, 6 occurrences)
저게 뭐야 (2 atoms, 6 occurrences)
왠지 알아 (2 atoms, 6 occurrences)
가고 싶어요 (2 atoms, 6 occurrences)
줄 수 (2 atoms, 6 occurrences)
어떻게 하지 (2 atoms, 6 occurrences)
하지 마세요 (2 atoms, 6 occurrences)
가야 돼 (2 atoms, 6 occurrences)
안 그런가 (2 atoms, 6 occurrences)
해 봐 (2 atoms, 6 occurrences)
