# Supertokens for English (204609 total, sorted by frequency)

pick up (2 atoms, 55 occurrences)
anything else (2 atoms, 54 occurrences)
every year (2 atoms, 54 occurrences)
work on (2 atoms, 54 occurrences)
for a minute (3 atoms, 54 occurrences)
in two (2 atoms, 54 occurrences)
be back (2 atoms, 54 occurrences)
come to (2 atoms, 54 occurrences)
what am (2 atoms, 53 occurrences)
for what (2 atoms, 53 occurrences)
I swear (2 atoms, 53 occurrences)
take a look (3 atoms, 53 occurrences)
every time (2 atoms, 53 occurrences)
of the world (3 atoms, 52 occurrences)
in trouble (2 atoms, 52 occurrences)
look at me (3 atoms, 52 occurrences)
and if (2 atoms, 52 occurrences)
at the same time (4 atoms, 51 occurrences)
much does (2 atoms, 51 occurrences)
you mind if (3 atoms, 51 occurrences)
son of a bitch (4 atoms, 51 occurrences)
feel like (2 atoms, 51 occurrences)
get out of here (4 atoms, 51 occurrences)
job is (2 atoms, 51 occurrences)
on time (2 atoms, 51 occurrences)
watch out (2 atoms, 50 occurrences)
in love (2 atoms, 50 occurrences)
for hours (2 atoms, 50 occurrences)
up here (2 atoms, 50 occurrences)
put on (2 atoms, 50 occurrences)
your ass (2 atoms, 50 occurrences)
be quiet (2 atoms, 50 occurrences)
live with (2 atoms, 50 occurrences)
good evening (2 atoms, 50 occurrences)
have time (2 atoms, 50 occurrences)
so long (2 atoms, 50 occurrences)
some time (2 atoms, 50 occurrences)
in a hurry (3 atoms, 50 occurrences)
thank you very much (4 atoms, 49 occurrences)
you talking (2 atoms, 49 occurrences)
my aunt (2 atoms, 48 occurrences)
to let (2 atoms, 48 occurrences)
in vain (2 atoms, 48 occurrences)
think he (2 atoms, 48 occurrences)
end of (2 atoms, 48 occurrences)
of yours (2 atoms, 48 occurrences)
solve the (2 atoms, 48 occurrences)
on earth (2 atoms, 47 occurrences)
love you (2 atoms, 47 occurrences)
come true (2 atoms, 47 occurrences)
have to get (3 atoms, 47 occurrences)
go away (2 atoms, 47 occurrences)
grow up (2 atoms, 47 occurrences)
sooner or later (3 atoms, 46 occurrences)
how dare you (3 atoms, 46 occurrences)
there anything (2 atoms, 46 occurrences)
be with (2 atoms, 46 occurrences)
him about (2 atoms, 46 occurrences)
what do you know (4 atoms, 46 occurrences)
right there (2 atoms, 46 occurrences)
up and (2 atoms, 45 occurrences)
there will be (3 atoms, 45 occurrences)
end up (2 atoms, 45 occurrences)
cat is (2 atoms, 45 occurrences)
let me see (3 atoms, 45 occurrences)
get away (2 atoms, 45 occurrences)
in fact (2 atoms, 45 occurrences)
was the last time (4 atoms, 45 occurrences)
deal with (2 atoms, 45 occurrences)
in the end (3 atoms, 45 occurrences)
due to (2 atoms, 44 occurrences)
what do you say (4 atoms, 44 occurrences)
the Bible (2 atoms, 44 occurrences)
stand up (2 atoms, 44 occurrences)
oh, you (3 atoms, 44 occurrences)
get back to (3 atoms, 44 occurrences)
somewhere else (2 atoms, 43 occurrences)
back in (2 atoms, 43 occurrences)
in charge (2 atoms, 43 occurrences)
been a (2 atoms, 43 occurrences)
the devil (2 atoms, 43 occurrences)
up for (2 atoms, 43 occurrences)
answer the (2 atoms, 43 occurrences)
ahead of (2 atoms, 43 occurrences)
hold it (2 atoms, 42 occurrences)
this week (2 atoms, 42 occurrences)
me where (2 atoms, 42 occurrences)
have to take (3 atoms, 42 occurrences)
get married (2 atoms, 42 occurrences)
be late (2 atoms, 42 occurrences)
good time (2 atoms, 42 occurrences)
good day (2 atoms, 42 occurrences)
in danger (2 atoms, 42 occurrences)
who knows (2 atoms, 42 occurrences)
on the way (3 atoms, 42 occurrences)
up on (2 atoms, 41 occurrences)
a bunch (2 atoms, 41 occurrences)
glass of (2 atoms, 41 occurrences)
I ask you (3 atoms, 41 occurrences)
how it (2 atoms, 41 occurrences)
I thought we (3 atoms, 40 occurrences)
it looks like (3 atoms, 40 occurrences)
it when (2 atoms, 40 occurrences)
in one (2 atoms, 40 occurrences)
just give (2 atoms, 40 occurrences)
count on (2 atoms, 40 occurrences)
something like that (3 atoms, 40 occurrences)
living room (2 atoms, 40 occurrences)
all the way (3 atoms, 40 occurrences)
get ready (2 atoms, 40 occurrences)
someone else (2 atoms, 40 occurrences)
on foot (2 atoms, 40 occurrences)
on the street (3 atoms, 40 occurrences)
last year (2 atoms, 40 occurrences)
have a look (3 atoms, 40 occurrences)
in town (2 atoms, 40 occurrences)
asked her (2 atoms, 40 occurrences)
