ABC순	ABC	순
가열하다	가열	하다.
가엾은	가엾다	은
가엾음	가엾다	음
가오마담	일본어 顔-, かお	프랑스어 madame
가요계	가요	계
가요제	가요	제
가운데소리	가운데	소리
가운데중간방어수	가운데	중간	방어수
가운뎃다리	가운데	ㅅ	다리.
가운뎃소리	가운데	ㅅ	소리
가운뎃손가락	가운데	ㅅ	손가락
가운뎃점	가운데	ㅅ	점
가웃바지	가웃	바지
가위뛰기	가위	뛰기
가위바위보	가위	바위	보
가위발뛰기	가위	발	뛰기
가위표	가위	표
가을날	가을	날
가을바람	가을	바람
가을밤	가을	밤
가을배추	가을	배추
가을보리	가을	보리
가을비	가을	비
가을빛	가을	빛
가을장마	가을	장마
가을철	가을	철
가입자	가입	자
가입하다	가입	하다
가자 지구	^가자	지구
가자지대	가자	지대
가장공모	가장	공모
가장자리	가	장	자리.
가장조	가	장조
가장하다	어원: 가장	하다
가전제품	가전	제품
가정법	가정	법
가정불화	가정	불화
가정적	가정	적
가정주부	가정	주부
가정체육	가정	체육
가정하다	가정	하다
가져다주다	가져다	주다
가져오다	가져	오다
가조기	가	조기
가족적	가족	적
가죽끈	가죽	끈
가증하다	가증	하다
가지가지	가지	가지
가지각색	가지	각색
가지고	가지	고
가지돌기	가지	돌기
가지런하다	가지런	하다
가지를 치다	가지	를	치다
가지바늘	가지	바늘
가지색	가지	색
가직하다	가직	하다
가짓수	가지	ㅅ	수
가짜	가	짜
가짜뉴스	가짜	뉴스
가짜배기	한자 假.	짜배기
가짜이름	가짜	이름
가창오리	가창	오리
가출하다	가출	하다
가치관	가치	관
가치작거리다	가치작	거리다
가치작대다	가치작	대다
가칠하다	가칠	하다
가침박달	가침	박달
가칫가칫	가칫	가칫
가칫거리다	가칫	거리다
가칫대다	가칫	대다
가칫하다	가칫	하다
가타부타	가타	부타
가탈거리다	가탈	거리다
가탈대다	가탈	대다
가탈스럽다	가탈	스럽다
가톨릭교	가톨릭	교
가톨릭교회	^가톨릭	교회
가파른	가파르다	ㄴ
가파름	가파르다	ㅁ
가풀막지다	가풀막	지다
가하다	가	하다
가학적	가학	적
가해자	가해	자
가호적	가	호적
가혹하다	가혹	하다.
가히	가	히
각기둥	각	기둥
각다분하다	각다분	하다
각도기	각도	기
각렴하다	각렴	하다.
각박하다	각박	하다
각배	각	배
각별하다	각별	하다
각뿔	각	뿔
각살림	각	살림
각설하다	각설	하다
각성제	각성	제
각시놀음	각시	놀음
각시메뚜기	각시	메뚜기
각시붓꽃	각시	붓꽃
각시붕어	각시	붕어
각실하다	각실	하다
각아비자식	각	아비	자식
각양각이	각양	각이
각지하다	각지	하다
각축장	각축	장
간간이	간간	이
간간하다	간간	하다
간결하다	간결	하다
간고등어	간	고등어
간닥거리다	간닥	거리다
간닥대다	간닥	대다
간닥이다	간닥	이다
간단없다	간단	없다
간단하다	간단	하다
간단히	간단	히
간당간당	간당	간당
간당거리다	간당	거리다
간당대다	간당	대다
간당이다	간당	이다
간댕거리다	간댕	거리다
간댕대다	간댕	대다
간댕이다	간댕	이다
간드랑거리다	간드랑	거리다
간드랑대다	간드랑	대다
간드작거리다	간드작	거리다
간드작대다	간드작	대다
간들거리다	간들	거리다
간들대다	간들	대다
간디스토마	간	디스토마
간또 평원	간또	평원
간명하다	간명	하다
간사하다	간사	하다
간사히	간사	히
간섭하다	간섭	하다 < 간셥ᄒᆞ다 중세 한국어
간소하다	간소	하다
간소화	간소	화
간소화하다	간소화	하다
간수	간	수
간신히	간신	히
간악하다	간악	하다
간암	간	암
간이역	간이	역
간장	간	장
간장게장	간장	게장
간장치킨	간장	치킨
간절하다	간절	하다
간접 화법	간접	화법
간접광고	간접	광고
간접벌차기	간접	벌	차기
간접적	간접	적
간접정범	간접	정범
간접촬영	간접	촬영
간종간종	간종	간종
간주하다	간주	하다
간질거리다	간질	거리다
간질대다	간질	대다
간질이다	간질	이다
간첩하다	간첩	하다
간통하다	간통	하다
간파하다	간파	하다
간편하다	간편	하다
간헐전동기구	간헐	전동	기구
간헐천	간헐	천
간호사	간호	사
갈갈거리다	갈갈	거리다
갈갈대다	갈갈	대다
갈강갈강	갈강	갈강
갈강갈강하다	갈강갈강	하다
갈강거리다	갈강	거리다
갈강대다	갈강	대다
갈강이다	갈강	이다
갈그랑갈그랑	갈그랑	갈그랑
갈그랑거리다	갈그랑	거리다
갈그랑대다	갈그랑	대다
갈근거리다	갈근	거리다
갈근대다	갈근	대다
갈기갈기	갈기	갈기
갈기늑대	갈기	늑대
갈까마귀	갈	까마귀
갈나무	갈	나무
갈대	갈	대
갈라지다	갈아디다 < 가ᄅᆞ­	­아	디­
갈라파고스땅거북	갈라파고스	땅거북
갈래갈래	갈래	갈래
갈리시아어	갈리시아	어
갈림	갈리	ㅁ
갈림길	갈림	길
갈망하다	갈망	하다
갈매나무	갈매	나무
갈매색	갈매	색
갈무리하다	갈무리	하다
갈문망둑	갈	문	망둑
갈밭	갈	밭
갈밭쥐	갈밭	쥐
갈붙이다	가르다 > 갈	붙이다
갈비뼈	갈비	뼈
갈비씨	갈비	씨.
갈비탕	갈비	탕
갈빗대	갈비	ㅅ	대.
갈색그물버섯	갈색	그물버섯
갈색머리흑조	갈색	머리	흑조
갈색얼가니새	갈색	얼가니새
갈색여치	갈색	여치
갈쌍갈쌍	갈쌍	갈쌍
갈쌍거리다	갈쌍	거리다
갈쌍대다	갈쌍	대다
갈쌍이다	갈쌍	이다
갈씬갈씬하다	갈씬갈씬	하다
갈씬거리다	갈씬	거리다
갈씬대다	갈씬	대다
갈씬하다	갈씬	하다
갈아디다	가ᄅᆞ­	­아	디
갈아타는 곳	갈아타다	곳
갈음이름씨	갈음하다	이름씨
갈참나무	갈	참나무
갉아먹다	갉다 > 갉아	먹다
갉작거리다	갉작	거리다
갉작대다	갉작	대다
갉작이다	갉작	이다
갉죽거리다	갉죽	거리다
갉죽대다	갉죽	대다
감가상각	감가	상각
감각 기관	감각	기관
감감소식	감감	소식
감감하다	감감	하다
감격하다	감격	하다
감금되다	감금	되다
감금하다	감금	하다
감나무	감	나무
감당하다	감당	하다
감독하다	감독	하다
감돌다	감	돌다
감동적	감동	적
감동하다	감동	하다
감람나무	감람	나무
감람색	감람	색
감마 함수	감마	함수
감명되다	감명	되다.
감명적	한자어 ‘感銘的, 感銘	的’에서 유래.
감명하다	감명	하다.
감사드리다	감사	드리다
감사하다	감사	하다
감사히	감사	히
감상하다	감상	하다
감색	감	색
감성돔	검다	상	돔
감숭감숭하다	감숭감숭	하다
감시인	감시	인
감실감실하다	감실감실	하다
감실거리다	감실	거리다
감실대다	감실	대다
감염되다	감염	되다
감염하다	감염	하다
감응유전	감응	유전
감응하다	감응	하다
감자전	감자	전
감자튀기	감자	튀기
감자튀김	감자	튀김
감잡히다	감	잡히다
감전사	감전	사
감정적 도덕설	감정적	도덕설
감정적소구	감정적	소구
감제되다	감제	되다.
감제하다	감제	하다.
감축하다	감축	하다
감칠맛	감치다	ㄹ	맛
감탄사	감탄	사
감탕나무	감탕	나무
감파르잡잡하다	감파르잡잡	하다
감파르족족하다	감파르족족	하다
